"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"East Asia & Pacific","EAS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","984000","1018800","1065000","1129600","1164223","1216233","1256418","1307158","1404201","1450109","1534258","1589997","1633516","1677364","1700755","1738549","1789982","1822252","1827920","1842953","1846338","2019850","1986753","1751123","1777304","1812255","1888172","1882945","1899466","1925420","1955060","1982636","1987465","1989665","1997624","2006430","2039168","","2008015","2098874","2114197","2128039","2089088","2068184","2093835","1998135","1951188",
"Egypt, Arab Rep.","EGY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3794911","3928634","4046863","3989861","4145454","4181198","4217845","4290364","4375272","4537233","4662816","4876462","5181611","5509852","5856704","6214250","6613503","7034617","7343716","6578126","6964306","6541725","6791128","7732308","7313038","8185030","8243137","","8086230","7947488","7856340","7855433","7874308","7928380","9563627","9794591","9988181","","10407187","10542138","10266010","10945595","11102706","11128030","","11764161","",
"Euro area","EMU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128504","115869","109087","150870","184492","207099","224287","241725","240737","","261963","295941","298691","330278","359299","374997","377512","364263","331855","314034","300129","286021","311737","334245","396398","361604","361684","","",
"Spain","ESP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3559425","3719113","3589080","3667516","3692600","3653320","3624136","3601948","3605324","3608854","3609623","3633713","3633906","3607755","3569744","3483948","3412939","3246655","3116889","2961953","2820497","2662490","2582343","2471084","2364910","2799960","2702553","2633678","2579908","2539995","2505203","2490744","2488319","2497513","2484903","2501205","2555757","2625414","2684078","2720989","2772909","2816584","2934648","2960626","3010404","3027751","",
"Estonia","EST","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","131705","133655","134854","135649","136956","138573","148545","153202","153395","128132","127389","126050","122111","120667","121404","125718","126800","127823","126671","123406","117289","108637","100171","92098","85539","79589","76026","74629","73563","72955","73054","74249","75644","77215","79594","","",
"Ethiopia","ETH","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","655427","716729","762686","859831","959822","1084307","1176636","1143207","1377703","1811251","2130716","2374362","2511050","2497114","2407380","2448778","2736517","2884033","2855846","2662214","2466464","2063636","1855894","2283638","2722192","3380068","4007694","5092770","5167582","5847259","6650841","7213043","7623074","8269663","10019729","10971581","12174719","13379059","13570558","13635289","14297969","14532477","","15733276","16198047","","",
